	BQYCK1	BQYCK2	BQYCK3	BQYCK4	BQYCK5	BQYCK6	BQYCK7	BQYCK8	BQYCK9	BQYNPK1	BQYNPK2	BQYNPK3	BQYNPK4	BQYNPK5	BQYNPK6	BQYNPK7	BQYNPK8	BQYNPK9	BQYNPKM1	BQYNPKM2	BQYNPKM3	BQYNPKM4	BQYNPKM5	BQYNPKM6	BQYNPKM7	BQYNPKM8	BQYNPKM9	BYCCK1	BYCCK2	BYCCK3	BYCCK4	BYCCK5	BYCCK6	BYCCK7	BYCCK8	BYCCK9	BYCNPK1	BYCNPK2	BYCNPK3	BYCNPK4	BYCNPK5	BYCNPK6	BYCNPK7	BYCNPK8	BYCNPK9	BYCNPKM1	BYCNPKM2	BYCNPKM3	BYCNPKM4	BYCNPKM5	BYCNPKM6	BYCNPKM7	BYCNPKM8	BYCNPKM9	BYYCK1	BYYCK2	BYYCK3	BYYCK4	BYYCK5	BYYCK6	BYYCK7	BYYCK8	BYYCK9	BYYNPK1	BYYNPK2	BYYNPK3	BYYNPK4	BYYNPK5	BYYNPK6	BYYNPK7	BYYNPK8	BYYNPK9	BYYNPKM1	BYYNPKM2	BYYNPKM3	BYYNPKM4	BYYNPKM5	BYYNPKM6	BYYNPKM7	BYYNPKM8	BYYNPKM9	BCCCK1	BCCCK2	BCCCK3	BCCNPK1	BCCNPK2	BCCNPK3	BCCNPKM1	BCCNPKM2	BCCNPKM3	BJX20CK1	BJX20CK2	BJX20CK3	BJX20CK4	BJX20CK5	BJX20CK6	BJX20CK7	BJX20CK8	BJX20CK9	BJX20NPK1	BJX20NPK2	BJX20NPK3	BJX20NPK4	BJX20NPK5	BJX20NPK6	BJX20NPK7	BJX20NPK8	BJX20NPK9	BJX20NPKM1	BJX20NPKM2	BJX20NPKM3	BJX20NPKM4	BJX20NPKM5	BJX20NPKM6	BJX20NPKM7	BJX20NPKM8	BJX20NPKM9	BHL20CK1	BHL20CK2	BHL20CK3	BHL20NPK1	BHL20NPK2	BHL20NPK3	BHL20NPKM1	BHL20NPKM2	BHL20NPKM3	RQYCK1	RQYCK2	RQYCK3	RQYCK4	RQYCK5	RQYCK6	RQYCK7	RQYCK8	RQYCK9	RQYNPK1	RQYNPK2	RQYNPK3	RQYNPK4	RQYNPK5	RQYNPK6	RQYNPK7	RQYNPK8	RQYNPK9	RQYNPKM1	RQYNPKM2	RQYNPKM3	RQYNPKM4	RQYNPKM5	RQYNPKM6	RQYNPKM7	RQYNPKM8	RQYNPKM9	RYCCK1	RYCCK2	RYCCK3	RYCCK4	RYCCK5	RYCCK6	RYCCK7	RYCCK8	RYCCK9	RYCNPK1	RYCNPK2	RYCNPK3	RYCNPK4	RYCNPK5	RYCNPK6	RYCNPK7	RYCNPK8	RYCNPK9	RYCNPKM1	RYCNPKM2	RYCNPKM3	RYCNPKM4	RYCNPKM5	RYCNPKM6	RYCNPKM7	RYCNPKM8	RYCNPKM9	RYYCK2	RYYCK3	RYYCK4	RYYCK5	RYYCK6	RYYCK7	RYYCK8	RYYCK9	RYYNPK1	RYYNPK2	RYYNPK3	RYYNPK4	RYYNPK5	RYYNPK6	RYYNPK7	RYYNPK8	RYYNPK9	RYYNPKM1	RYYNPKM2	RYYNPKM3	RYYNPKM4	RYYNPKM5	RYYNPKM6	RYYNPKM7	RYYNPKM8	RYYNPKM9	RCCSCK1	RCCSCK2	RCCSCK3	RCCSNPK1	RCCSNPK2	RCCSNPK3	RCCSNPKM1	RCCSNPKM2	RCCSNPKM3	RCCLCK1	RCCLCK2	RCCLCK3	RCCLNPK1	RCCLNPK2	RCCLNPK3	RCCLNPKM1	RCCLNPKM2	RCCLNPKM3	RJX20CK1	RJX20CK2	RJX20CK3	RJX20CK4	RJX20CK5	RJX20CK6	RJX20CK7	RJX20CK8	RJX20CK9	RJX20NPK1	RJX20NPK2	RJX20NPK3	RJX20NPK4	RJX20NPK5	RJX20NPK6	RJX20NPK7	RJX20NPK8	RJX20NPK9	RJX20NPKM1	RJX20NPKM2	RJX20NPKM3	RJX20NPKM4	RJX20NPKM5	RJX20NPKM8	RJX20NPKM9	RHL20SCK1	RHL20SCK2	RHL20SCK3	RHL20SNPK1	RHL20SNPK2	RHL20SNPK3	RHL20SNPKM1	RHL20SNPKM2	RHL20SNPKM3	RHL20LCK1	RHL20LCK2	RHL20LCK3	RHL20LNPK1	RHL20LNPK2	RHL20LNPK3	RHL20LNPKM1	RHL20LNPKM2	RHL20LNPKM3
OTU_12512	10	12	10	8	11	12	5	25	16	4	2	3	0	2	0	3	5	4	47	67	48	59	64	54	55	61	58	12	19	20	16	18	18	20	20	23	13	21	12	27	24	26	30	31	14	34	25	37	32	33	32	18	36	23	19	23	25	18	18	15	17	18	16	29	38	19	33	29	17	22	26	35	11	23	20	15	26	25	24	26	23	38	55	47	33	67	52	96	61	93	8	5	5	10	3	7	3	10	7	6	7	7	2	6	3	4	8	7	67	59	64	69	68	77	92	85	92	29	26	21	17	28	23	29	24	36	9	13	9	16	8	22	12	23	26	8	4	3	3	9	9	5	1	3	58	63	51	103	28	47	51	44	28	21	25	23	14	14	17	27	20	21	25	25	25	14	20	30	23	26	15	25	33	26	20	17	18	31	27	24	17	19	15	8	9	7	18	13	30	18	22	33	17	30	31	28	24	10	27	23	17	20	20	28	5	19	43	36	37	41	37	51	73	51	62	36	23	25	30	30	44	24	53	50	3	5	3	2	4	4	10	5	6	1	2	4	4	4	0	4	0	2	31	36	44	51	48	55	71	15	17	16	14	16	27	20	32	27	13	19	20	11	32	17	30	26	27
OTU_12514	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	5	2	3	9	3	2	5	3	6	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	3	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	7	15	11	11	6	5	8	7	6	1	0	1	2	1	1	2	0	0	0	0	2	1	1	1	0	4	2	15	0	6	3	5	8	6	7	5	36	27	16	18	15	12	9	18	18	1	1	2	2	0	0	0	1	3	1	1	0	2	1	0	0	0	0	1	8	3	5	2	3	5	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	4	3	0	4	2	2	3	4	3	2	1	3	1	2	4	3	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	5	1	4	2	5	6	7	7	11	6	11	7	8	12	13	14	13	16	8	10	14	10	2	9
OTU_12519	2	1	0	0	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	3	0	1	2	2	2	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	11	10	22	2	7	0	1	11	2	6	4	3	11	7	8	17	14	11	2	6	1	0	1	3	3	2	0	0	1	1	0	0	1	2	2	0	8	8	3	2	2	1	2	2	2	5	0	1	0	2	0	1	4	2	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	13	20	0	3	1	0	0	3	6	9	8	1	1	4	1	1	2	5	3	2	8	4	2	8	6	6	0	0	1	2	1	0	1	0	1	0	0	0	3	0	0	0	1	0	2	1	1	0	1	1	0	7	7	3	1	3	3	1	1	1
OTU_1252	10	61	11	29	18	19	4	50	17	3	1	2	0	3	3	2	5	8	15	10	10	6	42	11	4	9	6	59	68	56	82	54	68	64	62	69	54	71	71	94	68	73	85	107	103	111	86	109	71	120	113	133	70	97	67	95	68	55	63	45	72	61	76	197	76	86	69	107	100	133	95	75	67	88	88	112	87	86	109	145	128	29	13	19	10	13	14	21	8	12	20	4	8	7	1	10	12	1	5	17	11	1	3	40	2	0	7	6	33	10	9	16	21	19	18	19	27	48	33	59	53	29	40	27	33	49	5	1	4	13	9	10	9	39	1	3	0	1	2	1	2	1	2	2	1	5	1	3	12	2	3	2	7	55	33	53	33	30	60	39	76	49	47	30	28	29	33	46	67	78	28	38	36	51	45	34	28	65	67	73	38	69	27	20	18	17	36	32	58	37	40	52	32	47	65	43	53	35	43	77	97	70	42	54	73	60	11	8	16	5	8	10	14	16	19	40	16	4	10	7	5	4	5	4	3	4	3	0	2	4	10	0	1	1	1	3	0	1	0	0	3	1	15	11	6	16	13	18	26	45	52	43	33	48	40	33	37	44	62	48	44	46	31	22	34	30	18
OTU_1253	0	0	0	0	1	3	2	1	0	3	2	0	0	1	0	1	0	0	3	9	12	7	7	6	5	8	7	1	7	6	1	1	4	5	1	6	3	4	1	3	4	2	4	4	3	6	6	3	6	5	0	6	6	5	2	2	2	2	3	2	0	5	2	3	14	4	5	4	8	5	3	3	6	12	3	6	2	7	7	5	9	6	10	4	20	22	43	37	14	32	0	1	0	0	0	3	2	3	4	4	0	1	0	0	1	0	1	0	7	6	11	9	10	6	2	11	4	3	7	2	7	2	8	11	20	14	4	1	1	1	3	2	2	2	3	7	4	3	2	7	0	0	2	2	5	24	4	7	6	6	16	10	6	3	2	4	2	1	5	1	0	3	1	1	1	4	3	8	3	8	6	7	2	6	9	3	8	7	5	0	2	5	1	4	2	2	10	7	1	1	0	1	0	2	4	2	6	1	4	3	3	6	2	3	4	1	4	10	7	8	11	10	9	6	9	4	6	5	9	8	2	27	23	28	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	8	3	2	3	14	9	2	2	3	0	1	1	2	2	3	2	2	2	5	0	9	3	3	7
OTU_12536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	4	2	5	3	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	3	0	1	0	1	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	2	7	8	8	4	5	4	9	3	1	1	4	15	11	1	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	4	0	0	0	1	2	0	2	3	2	1	0	2	0	1	1	1	2	5	0
OTU_1254	0	0	0	0	1	0	0	0	0	13	6	7	1	4	5	3	0	8	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	3	2	5	5	2	4	0	2	7	6	7	8	8	18	16	7	14	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	4	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	1	3	1	1	0	4	5	5	4	7	5	6	7	14	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1255	1	1	0	0	1	2	2	0	2	0	0	2	0	1	1	0	0	3	0	0	3	2	0	0	2	0	2	15	30	21	38	34	20	3	7	11	9	7	27	20	23	10	5	9	7	9	15	15	10	10	13	12	9	4	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	3	3	0	0	1	1	1	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	10	29	13	12	6	5	4	8	5	8	7	5	4	4	1	4	10	8	8	3	4	1	3	3	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12551	3	0	0	0	2	0	13	3	1	7	3	4	0	3	3	0	0	1	0	0	0	0	1	0	0	0	0	3	1	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	4	0	0	0	0	1	2	1	2	0	5	0	0	0	0	0	1	0	1	4	0	3	1	3	0	2	1	1	0	0	0	0	0	0	0	0	0	10	10	8	12	12	8	12	16	11	4	12	19	56	30	79	20	57	36	1	0	1	2	3	0	2	0	0	0	2	0	1	0	4	1	1	2	0	1	1	2	2	0	4	0	1	7	1	3	11	9	4	1	3	1	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	4	6	5	6	2	2	5	5	21	13	15	9	7	18	0	1	2	3	1	0	0	1	0	0	0	2	0	0	0	1	2	1	0	0	0	0	2	0	1
OTU_12555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	9	2	0	0	1	0	0	0	0	5	0
OTU_1256	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	2	0	0	3	1	0	0	0	2	0	5	4	1	0	2	1	3	0	2	2	0	1	0	2	1	3	1	3	7	3	0	4	0	3	5	1	3	2	2	2	4	1	1	6	0	0	2	2	1	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	3	1	7	3	1	0	5	3	3	4	3	3	1	3	6	4	1	2	1	4	2	2	10	10	5	13	10	18	5	7	13	4	5	15	39	12	6	21	44	1	1	5	3	49	2	3	7	7	10	4	17	11	8	5	14	11	12	0	1	1	7	2	1	1	2	1	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	2	0	2	4	1	0	0	0	3	1	1	0	0	2	2	0	0	0	0	0	0	3	0
OTU_12569	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	1	0	1	5	6	4	3	1	6	3	2	2	5	10	7	1	2	4	13	9	2	2	5	5	4	7	3	9	5	2	1	5	8	4	2	3	1	3	6	3	3	4	8	5	4	5	2	6	6	3	1	6	7	2	10	6	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	4	0	1	0	0	5	2	1	8	1	5	2	5	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	5	2	5	0	1	5	3	3	5	2	1	2	3	1	3	4	7	4	5	3	7	3	2	2	9	2	2	0	3	0	1	1	2	0	1	0	1	0	3	0	0	1	1	1	2	4	6	1	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	0	1	1	1	2	3	0	1	0	1	0	6	2	3	1	3	2	5	2	1
OTU_1257	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	4	3	31	15	25	24	18	9	24	14	14	21	4	10	16	5	7	8	22	14	18	11	9	10	5	15	1	2	1	8	3	7	13	14	12	12	4	3	3	4	6	6	0	1	2	1	8	3	1	2	3	2	0	4	4	0	17	4	12	5	10	2	0	21	2	0	1	0	1	1	0	0	1	0	0	2	1	0	1	0	0	0	0	3	0	1	8	1	3	3	0	0	12	7	8	3	6	6	4	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	1	10	2	2	0	0	0	0	0	1	0	0	0	1	0	3	1	6	1	1	2	6	2	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1258	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	2	2	3	1	1	1	1	0	1	12	17	6	24	8	8	13	12	8	14	16	13	13	10	9	10	13	7	11	18	18	8	14	11	14	23	13	12	14	14	14	10	24	11	8	18	18	19	10	16	16	17	17	15	12	30	12	10	26	19	21	9	15	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	3	13	10	10	5	8	5	2	5	10	2	2	7	3	6	0	8	8	9	3	5	1	10	4	9	6	4	1	3	1	5	1	6	1	1	3	4	3	5	1	1	5	4	3	6	7	5	2	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1259	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	2	6	7	4	1	2	5	7	5	5	8	8	3	6	11	9	9	2	1	2	4	1	3	4	2	5	2	6	7	8	13	5	14	5	10	7	9	7	10	12	10	5	14	3	6	2	8	10	11	5	8	16	10	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	3	6	5	6	7	6	1	0	3	2	1	4	3	5	3	1	3	8	2	2	5	0	5	1	2	4	3	1	10	2	5	2	3	11	3	4	2	4	7	1	5	2	9	6	6	6	3	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_126	0	0	1	0	0	0	0	0	0	9	7	10	8	9	38	8	12	6	2	1	0	1	0	1	0	1	0	3	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	1	1	0	0	0	0	0	0	1	1	2	0	3	0	0	0	2	2	0	1	0	1	2	0	2	3	0	2	0	1	1	0	2	6	4	0	1	2	0	2	0	4	5	6	1	1	2	1	5	1	7	6	5	7	9	5	10	4	4	1	3	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	3	4	3	2	1	4	1	42	51	23	71	170	414	46	29	78	3	0	6	2	2	2	3	5	7	1	2	4	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	2	2	1	0	0	0	1	3	1	0	2	1	0	4	3	15	6	6	3	11	6	4	29	16	20	23	14	17	90	21	38	0	6	5	5	2	3	2	3	1	2	3	2	1	2	2	1	3	2	0	0	0	0	1	0	0
OTU_1260	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	3	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	1	0	0	0	0	3	3	4	0	77	0	0	5	2	0	2	0	11	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	1	39	0	0	3	0	1	1	5	48	1	0	0	1	18	13	3	4	2	1	4	11	13	4	7	0	3	7	1	0	0	0	0	4	1	0	0	2	0	0	1	0	0	1	1	0	0	0	1	1
OTU_12606	24	14	22	11	16	7	33	12	6	3	2	3	0	0	0	0	1	0	3	2	0	2	17	0	1	4	6	2	2	0	0	1	1	3	1	1	0	3	0	0	0	0	1	2	0	1	2	1	1	1	0	1	0	0	0	1	0	2	0	1	0	0	1	2	1	0	2	0	0	2	0	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	1	18	31	28	31	48	26	38	18	20	27	52	38	34	27	29	46	33	28	5	4	7	7	4	4	5	3	4	4	4	1	0	4	3	1	0	0	15	10	9	10	14	12	54	10	14	2	0	1	2	0	1	0	1	1	3	0	0	2	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	4	1	2	1	1	0	5	0	0	6	1	1	19	23	49	32	37	27	35	23	16	36	59	46	15	30	25	28	22	16	5	4	7	2	1	2	2	7	0	3	0	5	2	1	1	1	2	2	1	1	0	0	3	3	1
OTU_1261	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	13	9	9	9	32	9	7	16	13	6	8	16	10	3	14	6	7	3	6	5	6	6	3	7	9	0	7	9	10	10	12	5	14	16	8	12	8	13	7	10	10	8	10	9	6	6	3	3	10	4	4	1	5	7	9	22	5	9	11	7	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	1	0	0	0	1	2	2	1	2	1	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	3	2	2	5	8	1	11	4	4	11	15	8	11	10	3	1	2	1	4	1	3	3	6	1	3	1	7	4	6	3	7	6	4	4	1	6	5	3	7	2	0	1	2	4	1	0	1	1	0	5	4	2	4	1	0	3	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12628	2	2	3	1	2	1	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	1	2	1	0	2	1	2	1	0	0	0	0	0	0	0	0	1	2	3	2	0	0	1	1	0	0	0	0	1	0	0	1	1	1	29	15	15	11	6	12	11	11	9	18	17	15	1	2	0	7	1	0	3	1	2	4	4	1	2	1	0	2	0	0	0	1	2	1	2	0	2	3	1	0	1	3	1	1	2	2	9	13	1	1	9	22	0	4	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	4	0	1	23	18	10	18	9	11	12	14	9	20	16	10	3	1	0	11	2	1	3	0	2	4	3	3	4	0	0	1	0	2	0	1	1	0	1	0	1	2	4	2	2	0	5
OTU_1263	2	1	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	14	13	30	18	31	8	5	7	5	16	6	20	9	11	10	11	16	10	5	8	11	1	0	0	1	0	0	1	9	8	4	9	7	4	9	11	1	4	8	13	8	19	9	7	4	8	4	2	4	0	2	3	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	13	7	4	16	6	4	4	2	4	7	4	7	6	3	5	3	5	0	3	2	1	1	2	0	0	2	1	0	0	4	0	2	1	3	2	1	2	0	4	3	0	2	1	2	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
