	SampleID	Phylum	RA	TreatmentID	Site	Sitetre	Treatment	Soiltype	ComTreament	Comparts	SiteCom	Maize.variety	Growing.day
30	BCCCK3	Acidobacteriota	4.82	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
31	BCCCK3	Actinobacteriota	39.73	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
32	BCCCK3	Bacteroidota	2.36	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
33	BCCCK3	Chloroflexi	9.22	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
34	BCCCK3	Deinococcota	0.01	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
35	BCCCK3	Firmicutes	1.28	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
36	BCCCK3	Gemmatimonadota	5.5	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
37	BCCCK3	Myxococcota	3.54	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
38	BCCCK3	Nitrospirota	1.92	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
39	BCCCK3	Alphaproteobacteria	10.62	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
40	BCCCK3	Gammaproteobacteria	15.56	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
41	BCCCK3	unclassified	0.4	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
42	BCCCK3	Others	4.98	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
43	BCCNPK1	Abditibacteriota	0.1	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
44	BCCNPK1	Acidobacteriota	5.71	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
45	BCCNPK1	Actinobacteriota	29.19	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
46	BCCNPK1	Bacteroidota	5.04	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
47	BCCNPK1	Chloroflexi	14.46	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
48	BCCNPK1	Deinococcota	0.02	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
49	BCCNPK1	Firmicutes	1.54	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
50	BCCNPK1	Gemmatimonadota	6.26	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
51	BCCNPK1	Myxococcota	2.91	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
52	BCCNPK1	Nitrospirota	1.67	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
53	BCCNPK1	Alphaproteobacteria	11.97	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
54	BCCNPK1	Gammaproteobacteria	15.9	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
55	BCCNPK1	unclassified	0.4	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
56	BCCNPK1	Others	4.84	NPK1	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
57	BCCNPK2	Abditibacteriota	0.19	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
58	BCCNPK2	Acidobacteriota	4.8	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
59	BCCNPK2	Actinobacteriota	28.43	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
60	BCCNPK2	Bacteroidota	5.35	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
61	BCCNPK2	Chloroflexi	15.05	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
62	BCCNPK2	Deinococcota	0.03	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
63	BCCNPK2	Firmicutes	1.52	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
64	BCCNPK2	Gemmatimonadota	6.34	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
65	BCCNPK2	Myxococcota	2.98	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
66	BCCNPK2	Nitrospirota	0.87	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
67	BCCNPK2	Alphaproteobacteria	13.88	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
68	BCCNPK2	Gammaproteobacteria	16.1	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
69	BCCNPK2	unclassified	0.32	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
70	BCCNPK2	Others	4.15	NPK2	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
71	BCCNPK3	Abditibacteriota	0.19	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
72	BCCNPK3	Acidobacteriota	7.06	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
73	BCCNPK3	Actinobacteriota	29.37	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
74	BCCNPK3	Bacteroidota	1.76	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
75	BCCNPK3	Chloroflexi	11.21	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
76	BCCNPK3	Deinococcota	0.02	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
77	BCCNPK3	Firmicutes	2.22	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
78	BCCNPK3	Gemmatimonadota	7.05	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
79	BCCNPK3	Myxococcota	2.9	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
80	BCCNPK3	Nitrospirota	1.13	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
81	BCCNPK3	Alphaproteobacteria	14.01	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
82	BCCNPK3	Gammaproteobacteria	18.9	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
83	BCCNPK3	unclassified	0.26	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
84	BCCNPK3	Others	3.92	NPK3	CC	CCNPK	NPK	BSA	BCCNPK	BS	CCB	LY66	115d
85	BCCNPKM1	Abditibacteriota	0.08	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
86	BCCNPKM1	Acidobacteriota	4.95	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
87	BCCNPKM1	Actinobacteriota	33.09	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
88	BCCNPKM1	Bacteroidota	1.9	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
89	BCCNPKM1	Chloroflexi	10.14	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
90	BCCNPKM1	Deinococcota	0.01	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
91	BCCNPKM1	Firmicutes	2.87	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
92	BCCNPKM1	Gemmatimonadota	6.14	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
93	BCCNPKM1	Myxococcota	2.94	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
94	BCCNPKM1	Nitrospirota	0.89	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
95	BCCNPKM1	Alphaproteobacteria	15.44	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
96	BCCNPKM1	Gammaproteobacteria	17.82	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
97	BCCNPKM1	unclassified	0.2	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
98	BCCNPKM1	Others	3.5	NPKM1	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
99	BCCNPKM2	Abditibacteriota	0.07	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
100	BCCNPKM2	Acidobacteriota	4.58	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
101	BCCNPKM2	Actinobacteriota	35.67	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
102	BCCNPKM2	Bacteroidota	2.78	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
103	BCCNPKM2	Chloroflexi	7.87	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
104	BCCNPKM2	Deinococcota	0.01	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
105	BCCNPKM2	Firmicutes	2.87	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
106	BCCNPKM2	Gemmatimonadota	5.47	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
107	BCCNPKM2	Myxococcota	3.5	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
108	BCCNPKM2	Nitrospirota	1.34	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
109	BCCNPKM2	Alphaproteobacteria	14.33	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
110	BCCNPKM2	Gammaproteobacteria	16.37	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
111	BCCNPKM2	unclassified	0.27	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
112	BCCNPKM2	Others	4.87	NPKM2	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
113	BCCNPKM3	Abditibacteriota	0.14	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
114	BCCNPKM3	Acidobacteriota	5.63	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
115	BCCNPKM3	Actinobacteriota	33.49	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
116	BCCNPKM3	Bacteroidota	3.05	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
117	BCCNPKM3	Chloroflexi	9.89	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
118	BCCNPKM3	Deinococcota	0.01	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
119	BCCNPKM3	Firmicutes	2.41	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
120	BCCNPKM3	Gemmatimonadota	5	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
121	BCCNPKM3	Myxococcota	3.02	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
122	BCCNPKM3	Nitrospirota	0.81	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
123	BCCNPKM3	Alphaproteobacteria	15.05	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
124	BCCNPKM3	Gammaproteobacteria	17.33	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
125	BCCNPKM3	unclassified	0.23	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
126	BCCNPKM3	Others	3.94	NPKM3	CC	CCNPKM	NPKM	BSA	BCCNPKM	BS	CCB	LY66	115d
127	BHLCK1	Abditibacteriota	0.06	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
128	BHLCK1	Acidobacteriota	6.69	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
129	BHLCK1	Actinobacteriota	34.65	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
130	BHLCK1	Bacteroidota	1.15	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
131	BHLCK1	Chloroflexi	15.26	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
132	BHLCK1	Deinococcota	0.02	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
133	BHLCK1	Firmicutes	1.35	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
134	BHLCK1	Gemmatimonadota	3.8	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
135	BHLCK1	Myxococcota	2.41	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
136	BHLCK1	Nitrospirota	1.32	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
137	BHLCK1	Alphaproteobacteria	10.8	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
138	BHLCK1	Gammaproteobacteria	18.35	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
139	BHLCK1	unclassified	0.13	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
140	BHLCK1	Others	4	CK1	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
141	BHLCK2	Abditibacteriota	0.03	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
142	BHLCK2	Acidobacteriota	5.16	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
143	BHLCK2	Actinobacteriota	35.66	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
144	BHLCK2	Bacteroidota	3.6	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
145	BHLCK2	Chloroflexi	18.41	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
146	BHLCK2	Deinococcota	0.02	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
147	BHLCK2	Firmicutes	1.12	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
148	BHLCK2	Gemmatimonadota	5.1	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
149	BHLCK2	Myxococcota	2.45	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
150	BHLCK2	Nitrospirota	1.16	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
151	BHLCK2	Alphaproteobacteria	9.04	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
152	BHLCK2	Gammaproteobacteria	14.14	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
153	BHLCK2	unclassified	0.19	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
154	BHLCK2	Others	3.91	CK2	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
155	BHLCK3	Abditibacteriota	0.06	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
156	BHLCK3	Acidobacteriota	5.1	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
157	BHLCK3	Actinobacteriota	34.59	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
158	BHLCK3	Bacteroidota	1.2	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
159	BHLCK3	Chloroflexi	22.28	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
160	BHLCK3	Deinococcota	0.03	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
161	BHLCK3	Firmicutes	1.15	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
162	BHLCK3	Gemmatimonadota	4.74	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
163	BHLCK3	Myxococcota	2.25	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
164	BHLCK3	Nitrospirota	1.25	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
165	BHLCK3	Alphaproteobacteria	9.56	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
166	BHLCK3	Gammaproteobacteria	14.16	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
167	BHLCK3	unclassified	0.17	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
168	BHLCK3	Others	3.45	CK3	HL	HLCK	CK	BSA	BHLCK	BS	HLB	KW6	102d
169	BHLNPK1	Abditibacteriota	0.04	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
170	BHLNPK1	Acidobacteriota	7.46	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
171	BHLNPK1	Actinobacteriota	31.59	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
172	BHLNPK1	Bacteroidota	0.98	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
173	BHLNPK1	Chloroflexi	16.49	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
174	BHLNPK1	Deinococcota	0.01	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
175	BHLNPK1	Firmicutes	1.34	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
176	BHLNPK1	Gemmatimonadota	4.06	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
177	BHLNPK1	Myxococcota	2.5	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
178	BHLNPK1	Nitrospirota	1.45	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
179	BHLNPK1	Alphaproteobacteria	11.42	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
180	BHLNPK1	Gammaproteobacteria	18.28	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
181	BHLNPK1	unclassified	0.13	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
182	BHLNPK1	Others	4.25	NPK1	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
183	BHLNPK2	Abditibacteriota	0.04	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
184	BHLNPK2	Acidobacteriota	7.44	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
185	BHLNPK2	Actinobacteriota	35.82	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
186	BHLNPK2	Bacteroidota	0.73	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
187	BHLNPK2	Chloroflexi	14.75	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
188	BHLNPK2	Deinococcota	0.01	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
189	BHLNPK2	Firmicutes	1.49	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
190	BHLNPK2	Gemmatimonadota	4.04	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
191	BHLNPK2	Myxococcota	2.07	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
192	BHLNPK2	Nitrospirota	2.23	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
193	BHLNPK2	Alphaproteobacteria	10.61	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
194	BHLNPK2	Gammaproteobacteria	16.39	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
195	BHLNPK2	unclassified	0.15	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
196	BHLNPK2	Others	4.24	NPK2	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
197	BHLNPK3	Abditibacteriota	0.05	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
198	BHLNPK3	Acidobacteriota	8.87	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
199	BHLNPK3	Actinobacteriota	32.05	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
200	BHLNPK3	Bacteroidota	1.05	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
201	BHLNPK3	Chloroflexi	16.82	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
202	BHLNPK3	Deinococcota	0.01	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
203	BHLNPK3	Firmicutes	1.36	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
204	BHLNPK3	Gemmatimonadota	3.44	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
205	BHLNPK3	Myxococcota	2.01	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
206	BHLNPK3	Nitrospirota	2.06	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
207	BHLNPK3	Alphaproteobacteria	11.45	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
208	BHLNPK3	Gammaproteobacteria	16.48	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
209	BHLNPK3	unclassified	0.16	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
210	BHLNPK3	Others	4.2	NPK3	HL	HLNPK	NPK	BSA	BHLNPK	BS	HLB	KW6	102d
211	BHLNPKM1	Abditibacteriota	0.04	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
212	BHLNPKM1	Acidobacteriota	7.62	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
213	BHLNPKM1	Actinobacteriota	31.71	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
214	BHLNPKM1	Bacteroidota	1.47	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
215	BHLNPKM1	Chloroflexi	13.96	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
216	BHLNPKM1	Deinococcota	0.01	NPKM1	HL	HLNPKM	NPKM	BSA	BHLNPKM	BS	HLB	KW6	102d
